Nº	ROTA	CLIENTE	FORNECEDOR	OPERAÇÃO	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDÁGIO	STATUS		DATA INICIAL	HORA INICIAL	REF.	ROTA	VIATURA	VEICULO ESCOLTADO	DATA FINAL	HORA FINAL		INICIAL	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	TOTAL		ACIONAMENTO	PEDAGIO	REVISÃO	VALOR TOTAL		Nº	ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO												  	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	 TOTAL 		ESCOLTA	 PEDÁGIO 	TOTAL
4300	GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CANCELADA		01/04/2026	06:00:00		GUARUJA X EXTREMA	UEB7H08	MDT4F06	01/04/2026	09:23:00		1.044	1.044	0		06:00:00	09:23:00	03:23:00		0	 R$6,60 	 R$-   		00:23:00	 R$160,00 	 R$61,33 		 R$660,00 	 R$ 24,30 	 R$ 745,63 	 R$ 745,63 		4300	GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CANCELADA		01/04/2026	06:00:00		SP	GUARUJA X EXTREMA	UEB7H08	MDT4F06	01/04/2026	09:23:00		1.044	1.044	0		06:00:00	09:23:00	03:23:00		0	 R$4,80 	 R$-   		00:23:00	 R$106,70 	 R$40,90 		 R$480,15 	 R$ 24,30 	 R$545,35 
4301	LIBRAPORT CAMPINAS X GLP GUARULHOS	IBL	TORRES	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	08:00:00		LIBRAPORT CAMPINAS X GLP GUARULHOS	UER7D08	GCM-9E63	01/04/2026	11:16:00		1.705	1.842	137		08:00:00	11:16:00	03:16:00		37	 R$7,30 	 R$270,10 		00:16:00	 R$168,51 	 R$44,94 		 R$730,00 	 R$ 27,50 	 R$ 1.072,54 	 R$ 1.072,54 		4301	LIBRAPORT CAMPINAS X GLP GUARULHOS	IBL	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	08:00:00		SP	LIBRAPORT CAMPINAS X GLP GUARULHOS	UER7D08	GCM-9E63	01/04/2026	11:16:00		1.705	1.842	137		08:00:00	11:16:00	03:16:00		37	 R$4,80 	 R$177,60 		00:16:00	 R$106,70 	 R$28,45 		 R$480,15 	 R$ 27,50 	 R$713,70 
4302	JUNDIAI/SP - x 200 km BARUERI /SP	CEVA	TORRES	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	05:00:00		JUNDIAI/SP - x 200 km BARUERI /SP	UER7D08	LUM5G43	01/04/2026	07:01:00		1.522	1.594	72		05:00:00	07:01:00	02:01:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$660,00 	 R$ 38,00 	 R$ 698,00 	 R$ 698,00 		4302	JUNDIAI/SP - x 200 km BARUERI /SP	CEVA	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	05:00:00		SP	JUNDIAI/SP - x 200 km BARUERI /SP	UER7D08	LUM5G43	01/04/2026	07:01:00		1.522	1.594	72		05:00:00	07:01:00	02:01:00		0	 R$4,80 	 R$-   		00:00:00	 R$106,70 	 R$-   		 R$480,15 	 R$ 38,00 	 R$518,15 
4303	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	DOMAIN	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	16:48:00		JUNDIAI/SP - x 200 km CURITIBA /PR 	SYR0J20	AZA6F08	01/04/2026	22:38:00		104.191	104.391	200		17:00:00	22:38:00	05:50:00		0	 R$6,60 	 R$-   		00:50:00	 R$160,00 	 R$133,33 		 R$1.400,00 	 R$ 38,00 	 R$ 1.571,33 	 R$ 1.571,33 		4303	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	DOMAIN	CARACTERIZADA	 R$ 860,00 	7:00:00	200	 R$95,00 	 R$4,50 	À PARTE	CONCLUIDO		01/04/2026	16:48:00	1081	SP	JUNDIAI/SP - x 200 km CURITIBA /PR 	SYR0J20	AZA6F08	01/04/2026	22:38:00		104.191	104.391	200		17:00:00	22:38:00	05:50:00		0	 R$4,50 	 R$-   		00:00:00	 R$95,00 	 R$-   		 R$860,00 	 R$ 38,00 	 R$898,00 
4304	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	TORRES	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	18:00:00		JUNDIAI/SP - x 200 km CURITIBA /PR 	UER7D08	 OWH5E71 / REB2B26	01/04/2026	22:47:00		2.068	2.268	200		17:00:00	22:47:00	04:47:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$1.400,00 	 R$ 38,00 	 R$ 1.438,00 	 R$ 1.438,00 		4304	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	TORRES	CARACTERIZADA	 R$ 960,30 	5:00:00	200	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	18:00:00	1079	SP	JUNDIAI/SP - x 200 km CURITIBA /PR 	UER7D08	 OWH5E71 / REB2B26	01/04/2026	22:47:00		2.068	2.268	200		17:00:00	22:47:00	04:47:00		0	 R$4,80 	 R$-   		00:00:00	 R$106,70 	 R$-   		 R$960,30 	 R$ 38,00 	 R$998,30 
4305	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	COMANDO G8	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	20:00:00		JUNDIAI/SP - x 200 km CURITIBA /PR 	TEE3H27	MGP1337	02/04/2026	01:05:00		82.483	82.683	200		17:00:00	01:05:00	05:05:00		0	 R$6,60 	 R$-   		00:05:00	 R$160,00 	 R$13,33 		 R$1.400,00 	 R$ 38,00 	 R$ 1.451,33 	 R$ 1.451,33 		4305	JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	COMANDO G8	CARACTERIZADA	 R$ 800,00 	7:00:00	200	 R$90,00 	 R$4,50 	À PARTE	CONCLUIDO		01/04/2026	20:00:00	1080	SP	JUNDIAI/SP - x 200 km CURITIBA /PR 	TEE3H27	MGP1337	02/04/2026	01:05:00		82.483	82.683	200		17:00:00	01:05:00	05:05:00		0	 R$4,50 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$800,00 	 R$ 38,00 	 R$838,00 
4306	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$181,33 	 R$8,00 	À PARTE	CONCLUIDO		01/04/2026	10:30:00	SUL	URBANO PALHOÇA	FKQ7F51	SXM0G99	01/04/2026	13:16:00		354.891	354.899	8		10:30:00	13:16:00	02:46:00		0	 R$8,00 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.250,00 	 R$ -   	 R$ 1.250,00 	 R$ 1.250,00 		4306	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$100,00 	 R$5,00 	À PARTE	CONCLUIDO		01/04/2026	10:30:00		SC	URBANO PALHOÇA	FKQ7F51	SXM0G99	01/04/2026	14:43:00		354.891	354.916	25		10:30:00	14:43:00	04:13:00		0	 R$5,00 	 R$-   		01:13:00	 R$100,00 	 R$121,67 		 R$500,00 	 R$ -   	 R$621,67 
4307	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$181,33 	 R$8,00 	À PARTE	CONCLUIDO		01/04/2026	11:30:00	SUL	URBANO PALHOÇA	FKQ7F51	SXM0G99	01/04/2026	14:43:00		354.907	354.916	9		11:30:00	14:43:00	03:13:00		0	 R$8,00 	 R$-   		00:13:00	 R$181,33 	 R$39,29 		 R$1.250,00 	 R$ -   	 R$ 1.289,29 	 R$ 1.289,29 		4307	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$100,00 	 R$5,00 	À PARTE	CONCLUIDO		01/04/2026	11:30:00		SC	URBANO PALHOÇA	FKQ7F51	SXM0G99	01/04/2026	14:43:00		354.907	354.916	9		11:30:00	14:43:00	03:13:00		0	 R$5,00 	 R$-   		00:13:00	 R$100,00 	 R$21,67 		 R$500,00 	 R$ -   	
4308	AEROPORTO CONFINS X GAMELEIRA X CONTAGEM 	VTC	CENTURIÃO 	CARACTERIZADA	 R$630,00 	03:00:00	100	 R$159,90 	 R$5,80 	À PARTE	CONCLUIDO		01/04/2026	08:30:00		AEROPORTO CONFINS X GAMELEIRA X CONTAGEM 	UAB8F46	JJB7235	01/04/2026	11:49:00		12.518	12.572	54		08:30:00	11:49:00	03:19:00		0	 R$5,80 	 R$-   		00:19:00	 R$159,90 	 R$50,64 		 R$630,00 	 R$ -   	 R$ 680,64 	 R$ 680,64 		4308	AEROPORTO CONFINS X GAMELEIRA X CONTAGEM 	VTC	CENTURIÃO 	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CONCLUIDO		01/04/2026	08:30:00		SP	AEROPORTO CONFINS X GAMELEIRA X CONTAGEM 	UAB8F46	JJB7235	01/04/2026	11:49:00		12.518	12.572	54		08:30:00	11:49:00	03:19:00		0	 R$5,00 	 R$-   		00:19:00	 R$118,00 	 R$37,37 		 R$500,00 	 R$ -   	 R$537,37 
4309	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	08:00:00		CAMPINAS X CONGONHAS	SHO9H53	TKV0G50	01/04/2026	11:24:00		209.935	210.054	119		08:00:00	11:24:00	03:24:00		19	 R$7,30 	 R$138,70 		00:24:00	 R$168,51 	 R$67,40 		 R$730,00 	 R$ 27,30 	 R$ 963,40 	 R$ 963,40 		4309	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$ 467,43 	3:00:00	100	 R$102,60 	 R$4,55 	À PARTE	CONCLUIDO		01/04/2026	08:00:00		SP	CAMPINAS X CONGONHAS	SHO9H53	TKV0G50	01/04/2026	11:24:00		209.935	210.054	119		08:00:00	11:24:00	03:24:00		19	 R$4,55 	 R$86,45 		00:24:00	 R$102,60 	 R$41,04 		 R$467,43 	 R$ 27,30 	 R$622,22 
