ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO							
GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CANCELADA		01/04/2026	06:00:00		SP	GUARUJA X EXTREMA	UEB7H08
LIBRAPORT CAMPINAS X GLP GUARULHOS	IBL	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	08:00:00	27	SP	LIBRAPORT CAMPINAS X GLP GUARULHOS	UER7D08
JUNDIAI/SP - x 200 km BARUERI /SP	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	05:00:00	25	SP	JUNDIAI/SP - x 200 km BARUERI /SP	UER7D08
JUNDIAI/SP - x 200 km CURITIBA /PR 	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	18:00:00	31	SP	JUNDIAI/SP - x 200 km CURITIBA /PR 	UER7D08
GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	11:20:00	29	SP	GUARUJA X EXTREMA	UEB7H08
JACAREI X CAJAMAR	AMALOG	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	13:00:00	30	SP	JACAREI X CAJAMAR	UER7D08
GUARUJA X PIRUTUBA	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		01/04/2026	23:00:00	34	SP	GUARUJA X PIRUTUBA	UEB7H08
GUARUJÁ X OSASCO	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		06/04/2026	08:00:00	37	SP	GUARUJÁ X OSASCO	UEB7H08
PIRAPORA DO BOM JESUS X SANTOS SP	CESARI	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		09/04/2026	08:00:00	51	SP	PIRAPORA DO BOM JESUS X SANTOS SP	UGU6E48
PIRAPORA DO BOM JESUS X SANTOS SP	CESARI	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		09/04/2026	08:00:00	44	SP	PIRAPORA DO BOM JESUS X SANTOS SP	UEB7H08
JUNDIAI/SP - x 200 km VILA SERRA /ES	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		07/04/2026	15:30:00	40	SP	JUNDIAI/SP - x 200 km VILA SERRA /ES	UEB7H08
JUNDIAI/SP - x 200 km VILA BRASILIA /DF	CEVA	TORRES	CARACTERIZADA	 R$             480,00 	03:00	100	 R$                110,00 	 R$                      4,80 	À PARTE	CONCLUIDO		07/04/2026	16:00:00	41	SP	JUNDIAI/SP - x 200 km VILA BRASILIA /DF	 UER7D08
