detail,error_severity,event_message,hint,id,identifier,timestamp
null,ERROR,canceling statement due to statement timeout,null,6c266095-6522-4419-a3ce-6fb4e63bcefb,erjhxwbutjyylxdthuuz,1779312605283000
null,ERROR,canceling statement due to statement timeout,null,1d087684-2d74-45dd-9a4a-af4a30b480f4,erjhxwbutjyylxdthuuz,1779312604991000
null,ERROR,canceling statement due to statement timeout,null,2973305b-e802-450d-b5d3-1eef72197695,erjhxwbutjyylxdthuuz,1779312604634000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",110e612b-aa0b-4b4c-b3d2-0d89fd27b8df,erjhxwbutjyylxdthuuz,1779312596210000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,aca87864-b149-4033-8bc2-0a2569f023ef,erjhxwbutjyylxdthuuz,1779312596200000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,537ae4e5-6583-4d15-b931-f9ed5f3eb3f6,erjhxwbutjyylxdthuuz,1779312596199000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",e621d2ed-dedb-4a4f-8081-c3764facc9b5,erjhxwbutjyylxdthuuz,1779312596190000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a0b81aa4-d928-41c2-9ebe-8861c010481a,erjhxwbutjyylxdthuuz,1779312596174000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,782505c8-32fa-4946-9e66-ee1093571f83,erjhxwbutjyylxdthuuz,1779312596174000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",d6664226-19a0-430a-9707-ba5148558066,erjhxwbutjyylxdthuuz,1779312594761000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",null,5b7543ee-094f-44e5-bd55-8ff6a4e38481,erjhxwbutjyylxdthuuz,1779312594758000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,13fbf38e-03fd-47ee-b32e-03fb05071ecb,erjhxwbutjyylxdthuuz,1779312594758000
